question,label
구례 유명한 축구 여행지 알려줘 봐,S-LOCATION O S-PURPOSE O O O
해수욕장 보고 싶은데 곡성 어때,S-PURPOSE O O S-LOCATION O
통영 소문난 산책로,S-LOCATION O S-PURPOSE
거제 좋은 계곡 알고 있니,S-LOCATION O S-PURPOSE O O
많이 가는 함안 여행지,O O S-LOCATION O
유명한 의령 미술관 보여줘 봐요,O S-LOCATION S-PURPOSE O O
산청 가까운 산 여행지 어디,S-LOCATION O S-PURPOSE O O
합천 단풍 여행지 말해줘,S-LOCATION S-PURPOSE O O
창녕 11월 축제 추천 좀 부탁할게요,S-LOCATION S-DATE S-PURPOSE O O O
밀양 바다 여행지 추천해 줘,S-LOCATION S-PURPOSE O O O
기장 겨울 풍경 예쁜 산 알려줘,S-LOCATION S-DATE O O S-PURPOSE O
울주 주목받는 축제,S-LOCATION O S-PURPOSE
경주 가까운 바다 궁금해,S-LOCATION O S-PURPOSE O
영덕 축제 있는지 좀 알려주세요,S-LOCATION S-PURPOSE O O O
영양 유명한 축제 알려줘 봐,S-LOCATION O S-PURPOSE O O
안동 유명한 전시관 추천해 봐요,S-LOCATION O S-PURPOSE O O
의성 놀이공원 있어요,S-LOCATION S-PURPOSE O
청송 유명한 야구 여행지 추천해 봐요,S-LOCATION O S-PURPOSE O O O
울진 단풍놀이 여행지 추천해 줬으면 해,S-LOCATION S-PURPOSE O O O O
영월 화려한 축제,S-LOCATION O S-PURPOSE
평창 가까운 등산 여행지 원해,S-LOCATION O S-PURPOSE O O
잠깐 다녀올 수 있는 여행지 알려줘,O O O O O O
동해 유명한 깨끗한 바다 여행지,S-LOCATION O O S-PURPOSE O
서울 단풍놀이 가고 싶어요,S-LOCATION S-PURPOSE O O
태백 축제 몇 가지 알려줘,S-LOCATION S-PURPOSE O O O
속초 대포항 가까운 놀이공원 어디,B-LOCATION E-LOCATION O S-PURPOSE O
속초 단풍 축제 읊어봐,S-LOCATION B-PURPOSE E-PURPOSE O
양구 깨끗한 바다 여행지 알려줄래,S-LOCATION O S-PURPOSE O O
칠곡면 스키 타고 싶은데 스키장 추천해 줘,S-LOCATION O O O S-PURPOSE O O
휴전면 축구장 어디 있냐,S-LOCATION S-PURPOSE O O
더워서 화천 계곡 가보고 싶은데요,O S-LOCATION S-PURPOSE O O
강원 오봉산 가을 단풍놀이 할래,S-LOCATION S-PURPOSE S-DATE S-PURPOSE O
놀고 싶은데 즐길만한 여행지 있을까,O O O O O
춘천 유명한 해수욕장 가볼래,S-LOCATION O S-PURPOSE O
철원 갈만한 스키장 여행지 가보고 싶네,S-LOCATION O S-PURPOSE O O O
명성 축제 띄워주었으면 좋겠어요,S-LOCATION S-PURPOSE O O
백운 경기장 알려주지 않을래,S-LOCATION S-PURPOSE O O
어디 여행지 추천할래,O O O
구룡포 등산로 띄워주었음 좋겠어요,S-LOCATION S-PURPOSE O O
모가면 문학관 추천해 줘,S-LOCATION S-PURPOSE O O
설성면 괜찮은 등산로 있는지 모르겠는데 해결 좀 해줘,S-LOCATION O S-PURPOSE O O O O O
연제구 민속놀이 배우고 싶어,S-LOCATION S-PURPOSE O O
수영구 알법한 축제 알려줘,S-LOCATION O S-PURPOSE O
사상구 유명한 꽃구경 정보 알고 싶어,S-LOCATION O S-PURPOSE O O O
기장구 가족끼리 계곡 여행 가고 싶어,S-LOCATION O S-PURPOSE O O O
미추홀구 취사 가능한 산림,S-LOCATION O O S-PURPOSE
서울 테마공원 있는지 모르겠어,S-LOCATION S-PURPOSE O O
남동구 가까운 바다 있으면 말해줘,S-LOCATION O S-PURPOSE O O
부평구 갈만한 절 있을까요,S-LOCATION O S-PURPOSE O
계양구 어른 좋아하는 축제,S-LOCATION O O S-PURPOSE
수성구 가까운 물놀이 빨리 말해,S-LOCATION O S-PURPOSE O O
달서구 바다 여행지 어디 있을까,S-LOCATION S-PURPOSE O O O
증평읍 축구 여행,S-LOCATION S-PURPOSE O
미타사 가까운 산 여행지 어디니,S-LOCATION O S-PURPOSE O O
운동하고 싶은데 세종특별시 탁구장 추천해 줘,O O S-LOCATION S-PURPOSE O O
여행지 어때요,O O
여행지 어디 가면 좋을까요,O O O O
가까운 바다 여행지 있어요,O S-PURPOSE O O
유명한 꽃놀이 정보 알려주세요,O S-PURPOSE O O
유명한 수목원 여행지 있어,O S-PURPOSE O O
추천할만한 축구 여행지 있어,O S-PURPOSE O O
여행지 몰라서 문제네요,O O O
경기장 알려주지 않겠니,S-PURPOSE O O
유명한 스키장 어디 있어요,O S-PURPOSE O O
가까운 등산 여행지 볼래,O S-PURPOSE O O
꽃구경 보여주지 않을래,S-PURPOSE O O
전시관 좀 알려줘,S-PURPOSE O O
갈만한 깨끗한 바다 여행지 있나요,O O S-PURPOSE O O
넓은 경기장 추천해 줘,O S-PURPOSE O O
여름 갈만한 여행지 알려주세요,S-DATE O O O
문학관 여행지 알려줄 수 있어,S-PURPOSE O O O O
해수욕장 가고 싶네,S-PURPOSE O O
여행지 있지 않을까,O O O
어디 축제 좋겠어,O S-PURPOSE O
깨끗한 계곡 말해줘,O S-PURPOSE O
여행지 보고 싶다고요,O O O
혹시 동물원 여행지 알려줄 수 있을까,O S-PURPOSE O O O O
주변 꽃 핀 공원 있으면 알려줘,O S-PURPOSE O S-PURPOSE O O
여행지 가보고 싶은데,O O O
가까운 바다 여행지 알려줘 봐요,O S-PURPOSE O O O
가까운 식물원 여행지 어디 가야 할지 모르겠어,O S-PURPOSE O O O O O
유명한 등산 여행지 추천 부탁한다,O S-PURPOSE O O O
꽃 축제 열리는 곳 알려줘,B-PURPOSE E-PURPOSE O O O
꽃놀이 있을지 고민이네,S-PURPOSE O O
전시관 여행지 보여줘 봐,S-PURPOSE O O O
계곡 있나요,S-PURPOSE O
꽃구경 둘이서 하고 싶어,S-PURPOSE O O O
물놀이 할만한 곳 있을까,S-PURPOSE O O O
가까운 수목원 위치 모르겠어,O S-PURPOSE O O
유명한 계곡 여행지 있죠,O S-PURPOSE O O
어디 여행지 갈 건가요,O O O O
넓은 풋살장 있는지 모르겠어요,O S-PURPOSE O O
여행지 추천해 달라고,O O O
박물관 있니,S-PURPOSE O
유명한 바다 여행지 알려줘,O S-PURPOSE O O
여행지 없을까요,O O
여름 여행지 알려줘,S-DATE S-PURPOSE O
추천하는 여행지,O O
괜찮은 꽃구경 있을지 고민되네,O S-PURPOSE O O
가까운 바다 여행지 있지,O S-PURPOSE O O
가까운 꽃놀이 여행지 볼래요,O S-PURPOSE O O
더운데 워터파크 갈까,O S-PURPOSE O
계곡 괜찮은가,S-PURPOSE O
유명한 야구장 여행지 추천해 줘요,O S-PURPOSE O O O
갈만한 절 여행지 추천해 줘,O S-PURPOSE O O O
바다 관련된 여행지 좀 보여줘,S-PURPOSE O O O O
갈만한 여행지 있어,O O O
갈만한 산 있어요,O S-PURPOSE O
식물원 추천해,S-PURPOSE O
수목원 여행지 알고 싶어,S-PURPOSE O O O
유명한 깨끗한 바다 여행지 어디 있냐,O O S-PURPOSE O O O
단풍놀이 여행지 추천해 줘,S-PURPOSE O O O
수영장 어디,S-PURPOSE O
바다 여행지 있어,S-PURPOSE O O
야구 여행지 갈만한 곳 추천해 줘,S-PURPOSE O O O O O
유명한 산 여행지 알고 싶어,O S-PURPOSE O O O
계곡 가고 싶어,S-PURPOSE O O
놀이동산 여행지 있죠,S-PURPOSE O O
가까운 단풍 여행지 알려주면 좋겠어,O S-PURPOSE O O O
여행지 있을까,O O
꽃놀이 추천받고 싶네요,S-PURPOSE O O
꽃구경 어디지,S-PURPOSE O
장미꽃 보고 싶어,S-PURPOSE O O
갈만한 콘서트장 있나,O S-PURPOSE O
4월 축제 갈래,S-DATE S-PURPOSE O
유명한 물놀이 있지,O S-PURPOSE O
여행지 있지 않을까요,O O O
갈만한 바다 여행지 부탁드려요,O S-PURPOSE O O
가까운 단풍놀이 여행지 추천해주길 바래,O S-PURPOSE O O O
사람들 원하는 여행지,O O O
주변 높지 않은 산 추천해 줘,O O O S-PURPOSE O O
계곡 여행지 보고 싶어,S-PURPOSE O O O
괜찮은 사찰 여행지 있나요,O S-PURPOSE O O
여행지 어디 가면 좋을까,O O O O
가까운 단풍놀이 여행지 보여주길 바래,O S-PURPOSE O O O
어느 여행지 가야 잘했다 소문 날까,O O O O O O
가까운 바다 있니,O S-PURPOSE O
괜찮은 숲 알려줘,O S-PURPOSE O
갈만한 단풍 여행지 보고싶어요,O S-PURPOSE O O
연인 갈법한 여행지,O O O
계곡 어디 좋니,S-PURPOSE O O
갈만한 꽃놀이 있어,O S-PURPOSE O
어디 여행지 갈 건가,O O O O
배 타고 싶어요,S-PURPOSE O O
가까운 바다 여행지 있어,O S-PURPOSE O O
꽃구경 해보는 것 어때,S-PURPOSE O O O
튤립 핀 곳 있어,S-PURPOSE O O O
여행지 추천해 줘,O O O
깨끗한 바다 없나,O S-PURPOSE O
예쁜 바다 여행지 알려주세요,O S-PURPOSE O O
동물원 여행지 있어,S-PURPOSE O O
어린이 좋아하는 여행지,O O O
겨울 등산할만한 산 어디 있어,S-DATE O S-PURPOSE O O
분위기 좋은 카페,O O S-PURPOSE
수영 하고 싶어,S-PURPOSE O O
가까운 수목원 어디인지 모르겠어요,O S-PURPOSE O O
어디서 꽃구경 해,O S-PURPOSE O
냉동실 같은 계곡,O O S-PURPOSE
해수욕장 할래,S-PURPOSE O
봄꽃 축제 갈만한 곳 있어,B-PURPOSE E-PURPOSE O O O
가까운 놀이동산 여행지 부탁해요,O S-PURPOSE O O
가까운 바다 여행지 추천해 봐요,O S-PURPOSE O O O
식물원 여행지 있을까,S-PURPOSE O O
워터파크 괜찮은 곳,S-PURPOSE O O
단풍 놀이 가고 싶어,B-PURPOSE E-PURPOSE O O
더운데 계곡 갈까,O S-PURPOSE O
혼자 등산 할래,O S-PURPOSE O
여행지 추천해 주지 않을래,O O O O
산책로 구경시켜주지 않을래,S-PURPOSE O O
해수욕장 가능한가요,S-PURPOSE O
유명한 단풍 여행지,O S-PURPOSE O
가까운 템플스테이 여행지 갈래요,O S-PURPOSE O O
경기장 어떤가요,S-PURPOSE O
가까운 사찰 여행지 알려줬으면 해요,O S-PURPOSE O O O
괜찮은 여행지 몰라서 문제네,O O O O
자전거 탈래,S-PURPOSE O
전시관 여행지 어디니,S-PURPOSE O O
괜찮은 워터파크,O S-PURPOSE
축제 열리는 곳 있니,S-PURPOSE O O O
꽃구경 하러 갈 것 같아,S-PURPOSE O O O O
물놀이 하고 싶은데 괜찮은 곳 있나,S-PURPOSE O O O O O
물놀이 여행 어디 좋을까,S-PURPOSE O O O
가까운 스키장 여행지 어딜까요,O S-PURPOSE O O
해수욕장 어때,S-PURPOSE O
즐길만한 축제 알려줘,O S-PURPOSE O
혼자 놀이동산 갈래,O S-PURPOSE O
유명한 해수욕장 여행지 추천 원해요,O S-PURPOSE O O O
가까운 단풍놀이 여행지 보여줬으면 해,O S-PURPOSE O O O
단풍놀이 원해요,S-PURPOSE O
당신이라면 어디 여행지 갈거야,O O O O
놀이공원 여행지 있어,S-PURPOSE O O
유명한 계곡 여행지 있어요,O S-PURPOSE O O
쉬고 싶은데 갈만한 여행지 있을까,O O O O O
유명한 경기장 여행지 알려줘,O S-PURPOSE O O
꽃놀이 가고 싶어요,S-PURPOSE O O
유명한 수영장 있나,O S-PURPOSE O
공기좋은 등산로,O S-PURPOSE
가까운 산 여행지 궁금해요,O S-PURPOSE O O
여행지 어디 있냐,O O O
가까운 템플스테이 여행지 알려주면 좋겠어요,O S-PURPOSE O O O
갈만한 산책로 있지 않아요,O S-PURPOSE O O
유명한 해수욕장 여행지 추천 원해,O S-PURPOSE O O O
계곡 보고 싶어,S-PURPOSE O O
벚꽃 축제 보러 갈래,B-PURPOSE E-PURPOSE O O
유명한 스키장 가고 싶어,O S-PURPOSE O O
유명한 절 원해요,O S-PURPOSE O
템플스테이 추천 필요해요,S-PURPOSE O O
꽃놀이 어디서 해,S-PURPOSE O O
괜찮은 스키장 갈래,O S-PURPOSE O
깨끗한 바다 여행지 어디,O S-PURPOSE O O
놀이공원 괜찮은가요,S-PURPOSE O
등산로 보여줘라,S-PURPOSE O
꽃구경 갈래요,S-PURPOSE O
가까운 바다 여행지 알려줘 봐,O S-PURPOSE O O O
유명한 야구 여행지 보여줘 봐요,O S-PURPOSE O O O
등산 갈래,S-PURPOSE O
노래 듣고 싶어,S-PURPOSE O O
멋진 박물관 보여줘,O S-PURPOSE O
여행지 있는지 고민이네,O O O
야구장 알려줘,S-PURPOSE O
유명한 절 여행지 원해요,O S-PURPOSE O O
나만 알고 싶은 산림 여행지,O O O S-PURPOSE O
가까운 단풍 여행지 추천해주면 좋겠어,O S-PURPOSE O O O
나룻배 타고 싶어,S-PURPOSE O O
가까운 바다 여행지 있죠,O S-PURPOSE O O
동물원 여행지 추천해 봐요,S-PURPOSE O O O
여행지 뭐 있어,O O O
스트레스 풀릴 여행지,O O O
사랑 받는 바닷가,O O S-PURPOSE
주변 산책 갈만한 데 있어,O S-PURPOSE O O O
바다 여행지 알려줘,S-PURPOSE O O
가까운 계곡 추천 좀 해줘 봐,O S-PURPOSE O O O O
꽃놀이 정보 알려줘,S-PURPOSE O O
여행지 알려달라고,O O
단풍 놀이 여행지 어디,B-PURPOSE E-PURPOSE O O
꽃놀이 보고 싶어요,S-PURPOSE O O
가벼운 산책로,O S-PURPOSE
유명한 스키장,O S-PURPOSE
어디 여행지 가는게 좋을까,O O O O
전통놀이 배우려면 어떻게 해야돼,S-PURPOSE O O O
맑은 계곡,O S-PURPOSE
여행지 어디 갈 데 있어,O O O O O
좋은 전시관,O S-PURPOSE
재밌는 축제 원해,O S-PURPOSE O
식물원 가고 싶은데 갈만한 곳 있어,S-PURPOSE O O O O O
여행지 알려줘라,O O
가까운 단풍 여행지 보여주면 좋겠어,O S-PURPOSE O O O
많이 찾는 단풍놀이 구경,O O S-PURPOSE O
여행지 어떨 것 같아,O O O O
가볼법한 여행지 보여줘요,O O O
가까운 사찰 여행지 보여줬으면 해요,O S-PURPOSE O O O
축제 갈만한 곳 있어,S-PURPOSE O O O
꽃구경 어때요,S-PURPOSE O
문학관 여행지 궁금해요,S-PURPOSE O O
가봄직한 여행지 있을까요,O O O
거리상 짧은 여행지,O O O
풍경 좋은 산 있니,O O S-PURPOSE O
배드민턴장 추천해 줘요,S-PURPOSE O O
유명한 박물관 여행지 있냐,O S-PURPOSE O O
가까운 스키장 여행지 갈래,O S-PURPOSE O O
놀이동산 여행지 있지,S-PURPOSE O O
유명한 놀이공원 있죠,O S-PURPOSE O
소풍 가고 싶은데 갈만한 여행지 띄워줘,S-PURPOSE O O O O O
여행지 추천해 달라고요,O O O
유명한 깨끗한 바다 여행지 어디 있을까,O O S-PURPOSE O O O
축구장 어딨을까,S-PURPOSE O
동물원 보여줘 봐,S-PURPOSE O O
가까운 동물원 여행지 어디 가야 하지,O S-PURPOSE O O O O
가까운 바다 여행지 보여줘 봐,O S-PURPOSE O O O
여행지 어딨냐,O O
공기 상쾌한 여행지 보여주세요,O O O O
유명한 스키장 어디 있어,O S-PURPOSE O O
유명한 축구 여행지 추천해 봐,O S-PURPOSE O O O
봄 풍경 예쁜 산 추천해 줘,S-DATE O O S-PURPOSE O O
가까운 축구 여행지 가고 싶어,O S-PURPOSE O O O
단풍놀이 가보고 싶은데,S-PURPOSE O O
혼자 꽃구경 하고 싶어,O S-PURPOSE O O
유명한 물놀이 있어,O S-PURPOSE O
가까운 야구장 여행지 알고 싶어요,O S-PURPOSE O O O
단풍구경 갈래,S-PURPOSE O
사찰 여행지 가보고 싶어요,S-PURPOSE O O O
가까운 동물원 여행지 어디 가야 할까요,O S-PURPOSE O O O O
가까운 스키 여행지 어딘가요,O S-PURPOSE O O
경기장 어디 있니,S-PURPOSE O O
벚꽃 축제 가봐야 하는데,B-PURPOSE E-PURPOSE O O
가봐야 하는 꽃놀이 여행지 알려주세요,O O S-PURPOSE O O
갈만한 절 있을까,O S-PURPOSES O
갈만한 바다 여행지 부탁합니다,O S-PURPOSE O O
박물관 여행지 갈 데 없나요,S-PURPOSE O O O O
B-PURPOSE E-PURPOSE 원한다,S-PURPOSE O
가까운 스키 여행지 어디죠,O S-PURPOSE O O
휴식 취할만한 관광지 어딨니,S-PURPOSE O O O
여행지 띄워주었음 좋겠어,O O O
비 오면 바다 여행 힘들텐데,O O S-PURPOSE O O
템플스테이 가고 싶네요,S-PURPOSE O O
생각없이 갈만한 놀이동산 알려주세요,O O S-PURPOSE O
단풍놀이 원해,S-PURPOSE O
테니스장 알고 싶네요,S-PURPOSE O O
추천할만한 놀이공원,O S-PURPOSE
놀이공원 여행지 추천 부탁해요,S-PURPOSE O O O
경기장 없을까,S-PURPOSE O
즐길만한 여행지 가고 싶어,O O O O
가까운 식물원 어디 가야 할지 모르겠어요,O S-PURPOSE O O O O
혹시 미술관 여행지 있니,O S-PURPOSE O O
